customer_id,month,rental_count,total_spending,prev_rental,prev_spending,segment_next,predicted_segment,is_correct,cluster,segment
32,2005-07-01,15,58.85,4,15.96,High Value,High Value,True,2,High Value
32,2005-08-01,7,37.93,15,58.85,Low Value,Low Value,True,0,Low Value
33,2005-07-01,8,29.92,2,19.98,Low Value,Low Value,True,1,Loyal
33,2005-08-01,9,37.91,8,29.92,Low Value,Low Value,True,1,Loyal
33,2006-02-01,1,0.99,9,37.91,Low Value,High Value,False,0,Low Value
34,2005-07-01,9,33.91,3,11.97,Low Value,High Value,False,1,Loyal
34,2005-08-01,12,43.88,9,33.91,High Value,Low Value,False,2,High Value
35,2005-07-01,16,68.84,6,17.94,High Value,High Value,True,2,High Value
35,2005-08-01,8,31.92,16,68.84,Low Value,Low Value,True,0,Low Value
36,2005-07-01,13,40.87,1,0.99,High Value,High Value,True,1,Loyal
36,2005-08-01,11,48.89,13,40.87,High Value,High Value,True,2,High Value
37,2005-07-01,6,36.94,3,10.97,Low Value,Low Value,True,1,Loyal
37,2005-08-01,12,43.88,6,36.94,High Value,High Value,True,2,High Value
38,2005-07-01,18,65.82,5,15.95,High Value,Low Value,False,2,High Value
38,2005-08-01,11,45.89,18,65.82,High Value,Low Value,False,0,Low Value
39,2005-07-01,15,73.85,6,26.94,High Value,High Value,True,2,High Value
39,2005-08-01,8,40.92,15,73.85,Big Spender,High Value,False,0,Low Value
40,2005-07-01,11,40.89,4,16.96,High Value,High Value,True,1,Loyal
40,2005-08-01,11,47.89,11,40.89,High Value,High Value,True,2,High Value
41,2005-07-01,15,70.85,2,12.98,High Value,Low Value,False,2,High Value
41,2005-08-01,7,31.93,15,70.85,Low Value,Low Value,True,0,Low Value
41,2006-02-01,1,2.99,7,31.93,Low Value,Loyal,False,0,Low Value
42,2005-07-01,16,61.84,4,12.96,High Value,High Value,True,2,High Value
42,2005-08-01,7,30.93,16,61.84,Low Value,Low Value,True,0,Low Value
42,2006-02-01,2,5.98,7,30.93,Low Value,Low Value,True,0,Low Value
43,2005-07-01,12,47.88,1,4.99,High Value,High Value,True,1,Loyal
43,2005-08-01,7,32.93,12,47.88,Low Value,Low Value,True,0,Low Value
43,2006-02-01,2,3.98,7,32.93,Low Value,Low Value,True,0,Low Value
44,2005-07-01,10,53.9,4,15.96,High Value,High Value,True,1,Loyal
44,2005-08-01,6,26.94,10,53.9,Low Value,High Value,False,0,Low Value
44,2006-02-01,1,4.99,6,26.94,Low Value,High Value,False,0,Low Value
45,2005-07-01,9,37.91,5,17.95,Low Value,Low Value,True,1,Loyal
45,2005-08-01,12,68.88,9,37.91,High Value,High Value,True,2,High Value
46,2005-07-01,8,32.92,7,32.93,Low Value,Low Value,True,1,Loyal
46,2005-08-01,16,65.84,8,32.92,High Value,Low Value,False,2,High Value
47,2005-07-01,10,47.9,3,17.97,High Value,High Value,True,1,Loyal
47,2005-08-01,6,26.94,10,47.9,Low Value,Low Value,True,0,Low Value
48,2005-07-01,8,44.92,2,10.98,Big Spender,High Value,False,1,Loyal
48,2005-08-01,4,11.96,8,44.92,Low Value,Low Value,True,0,Low Value
49,2005-07-01,13,69.87,5,23.95,High Value,High Value,True,2,High Value
49,2005-08-01,6,22.94,13,69.87,Low Value,Low Value,True,0,Low Value
50,2005-07-01,17,80.83,4,11.96,High Value,High Value,True,2,High Value
50,2005-08-01,9,51.91,17,80.83,Big Spender,Big Spender,True,0,Low Value
51,2005-07-01,12,58.88,2,2.98,High Value,High Value,True,1,Loyal
51,2005-08-01,16,61.84,12,58.88,High Value,Low Value,False,2,High Value
52,2005-07-01,12,48.88,4,13.96,High Value,High Value,True,1,Loyal
52,2005-08-01,11,38.89,12,48.88,High Value,Loyal,False,0,Low Value
52,2006-02-01,1,4.99,11,38.89,Low Value,Low Value,True,0,Low Value
53,2005-07-01,7,31.93,5,10.95,Low Value,High Value,False,1,Loyal
53,2005-08-01,10,37.9,7,31.93,Loyal,Loyal,True,1,Loyal
53,2006-02-01,2,7.98,10,37.9,Low Value,Low Value,True,0,Low Value
54,2005-07-01,8,29.92,4,19.96,Low Value,High Value,False,1,Loyal
54,2005-08-01,14,64.86,8,29.92,High Value,Low Value,False,2,High Value
55,2005-07-01,7,36.93,5,18.95,Low Value,Low Value,True,1,Loyal
55,2005-08-01,7,28.93,7,36.93,Low Value,High Value,False,0,Low Value
56,2005-07-01,9,37.91,4,13.96,Low Value,High Value,False,1,Loyal
56,2005-08-01,12,58.88,9,37.91,High Value,High Value,True,2,High Value
56,2006-02-01,1,4.99,12,58.88,Low Value,Low Value,True,0,Low Value
57,2005-07-01,15,49.85,5,20.95,High Value,High Value,True,1,Loyal
57,2005-08-01,6,28.94,15,49.85,Low Value,Low Value,True,0,Low Value
58,2005-07-01,9,38.91,3,6.97,Big Spender,Big Spender,True,1,Loyal
58,2005-08-01,11,58.89,9,38.91,High Value,High Value,True,2,High Value
58,2006-02-01,1,0.99,11,58.89,Low Value,Low Value,True,0,Low Value
59,2005-07-01,11,60.89,3,10.97,High Value,Low Value,False,2,High Value
59,2005-08-01,10,47.9,11,60.89,High Value,Low Value,False,0,Low Value
60,2005-07-01,8,27.92,2,9.98,Low Value,High Value,False,1,Loyal
60,2005-08-01,10,40.9,8,27.92,High Value,Low Value,False,1,Loyal
60,2006-02-01,2,9.98,10,40.9,Low Value,Loyal,False,0,Low Value
61,2005-08-01,7,24.93,6,32.94,Low Value,Low Value,True,0,Low Value
62,2005-07-01,5,16.95,7,24.93,Low Value,High Value,False,1,Loyal
62,2005-08-01,9,36.91,5,16.95,Low Value,Low Value,True,1,Loyal
63,2005-07-01,14,64.86,1,0.99,High Value,High Value,True,1,Loyal
63,2005-08-01,10,46.9,14,64.86,High Value,Low Value,False,0,Low Value
64,2005-07-01,19,59.81,2,3.98,High Value,High Value,True,1,Loyal
64,2005-08-01,8,22.92,19,59.81,Low Value,Low Value,True,0,Low Value
64,2006-02-01,1,4.99,8,22.92,Low Value,Low Value,True,1,Loyal
65,2005-07-01,9,37.91,2,12.98,Low Value,Low Value,True,1,Loyal
65,2005-08-01,9,46.91,9,37.91,Big Spender,High Value,False,2,High Value
66,2005-07-01,13,60.87,7,29.93,High Value,Low Value,False,2,High Value
66,2005-08-01,13,48.87,13,60.87,High Value,High Value,True,0,Low Value
67,2005-07-01,8,30.92,4,13.96,Low Value,High Value,False,1,Loyal
67,2005-08-01,8,41.92,8,30.92,Big Spender,Low Value,False,1,Loyal
68,2005-07-01,10,43.9,5,25.95,High Value,Low Value,False,1,Loyal
68,2005-08-01,7,24.93,10,43.9,Low Value,High Value,False,0,Low Value
69,2005-07-01,11,47.89,2,7.98,High Value,High Value,True,1,Loyal
69,2005-08-01,9,32.91,11,47.89,Low Value,Low Value,True,0,Low Value
69,2006-02-01,1,0.99,9,32.91,Low Value,High Value,False,0,Low Value
70,2005-07-01,7,26.93,1,4.99,Low Value,High Value,False,1,Loyal
70,2005-08-01,9,43.91,7,26.93,Big Spender,High Value,False,1,Loyal
71,2005-07-01,18,70.82,3,13.97,High Value,High Value,True,2,High Value
71,2005-08-01,7,31.93,18,70.82,Low Value,Low Value,True,0,Low Value
72,2005-07-01,10,36.9,1,4.99,Loyal,High Value,False,1,Loyal
72,2005-08-01,16,46.84,10,36.9,High Value,High Value,True,2,High Value
73,2005-07-01,10,46.9,2,5.98,High Value,High Value,True,1,Loyal
73,2005-08-01,9,33.91,10,46.9,Low Value,High Value,False,0,Low Value
73,2006-02-01,1,2.99,9,33.91,Low Value,Low Value,True,0,Low Value
74,2005-07-01,10,47.9,4,12.96,High Value,High Value,True,1,Loyal
74,2005-08-01,12,35.88,10,47.9,Loyal,Low Value,False,0,Low Value
75,2005-07-01,20,70.8,5,29.95,High Value,Low Value,False,2,High Value
75,2005-08-01,11,39.89,20,70.8,High Value,High Value,True,0,Low Value
75,2006-02-01,3,8.97,11,39.89,Low Value,Low Value,True,0,Low Value
76,2005-07-01,9,25.91,6,12.94,Low Value,Low Value,True,1,Loyal
76,2005-08-01,6,35.94,9,25.91,Low Value,Low Value,True,1,Loyal
77,2005-07-01,7,15.93,5,21.95,Low Value,Low Value,True,1,Loyal
77,2005-08-01,11,47.89,7,15.93,High Value,High Value,True,1,Loyal
78,2005-07-01,14,52.86,3,17.97,High Value,High Value,True,1,Loyal
78,2005-08-01,14,70.86,14,52.86,High Value,High Value,True,2,High Value
79,2005-07-01,13,53.87,2,7.98,High Value,High Value,True,1,Loyal
79,2005-08-01,4,11.96,13,53.87,Low Value,Low Value,True,0,Low Value
80,2005-07-01,12,61.88,3,15.97,High Value,High Value,True,2,High Value
80,2005-08-01,14,56.86,12,61.88,High Value,High Value,True,2,High Value
80,2006-02-01,1,2.99,14,56.86,Low Value,Low Value,True,0,Low Value
81,2005-07-01,6,23.94,3,12.97,Low Value,High Value,False,1,Loyal
81,2005-08-01,12,55.88,6,23.94,High Value,High Value,True,2,High Value
82,2005-07-01,11,64.89,5,20.95,High Value,High Value,True,2,High Value
82,2005-08-01,8,32.92,11,64.89,Low Value,Low Value,True,0,Low Value
83,2005-07-01,9,31.91,4,20.96,Low Value,Low Value,True,1,Loyal
83,2005-08-01,8,38.92,9,31.91,Big Spender,Low Value,False,1,Loyal
83,2006-02-01,1,4.99,8,38.92,Low Value,Low Value,True,0,Low Value
84,2005-07-01,12,64.88,6,14.94,High Value,Low Value,False,2,High Value
84,2005-08-01,12,48.88,12,64.88,High Value,High Value,True,0,Low Value
85,2005-07-01,8,26.92,6,19.94,Low Value,Low Value,True,1,Loyal
85,2005-08-01,7,25.93,8,26.92,Low Value,Low Value,True,1,Loyal
86,2005-07-01,12,64.88,7,24.93,High Value,High Value,True,2,High Value
86,2005-08-01,13,56.87,12,64.88,High Value,High Value,True,2,High Value
87,2005-07-01,11,56.89,5,25.95,High Value,Low Value,False,2,High Value
87,2005-08-01,11,49.89,11,56.89,High Value,Low Value,False,2,High Value
87,2006-02-01,1,4.99,11,49.89,Low Value,Low Value,True,0,Low Value
88,2005-07-01,11,44.89,3,13.97,High Value,High Value,True,1,Loyal
88,2005-08-01,6,25.94,11,44.89,Low Value,High Value,False,0,Low Value
89,2005-07-01,17,68.83,5,30.95,High Value,High Value,True,2,High Value
89,2005-08-01,7,24.93,17,68.83,Low Value,Low Value,True,0,Low Value
90,2005-07-01,12,51.88,3,8.97,High Value,High Value,True,1,Loyal
90,2005-08-01,13,49.87,12,51.88,High Value,High Value,True,2,High Value
91,2005-07-01,19,59.81,4,12.96,High Value,High Value,True,2,High Value
91,2005-08-01,10,29.9,19,59.81,Loyal,Low Value,False,0,Low Value
91,2006-02-01,1,4.99,10,29.9,Low Value,High Value,False,0,Low Value
92,2005-07-01,15,78.85,3,14.97,High Value,High Value,True,2,High Value
92,2005-08-01,8,28.92,15,78.85,Low Value,Low Value,True,0,Low Value
93,2005-07-01,6,21.94,2,5.98,Low Value,High Value,False,1,Loyal
93,2005-08-01,12,48.88,6,21.94,High Value,High Value,True,1,Loyal
94,2005-07-01,7,28.93,5,19.95,Low Value,Low Value,True,1,Loyal
94,2005-08-01,6,17.94,7,28.93,Low Value,Low Value,True,1,Loyal
94,2006-02-01,1,4.99,6,17.94,Low Value,High Value,False,1,Loyal
95,2005-07-01,9,43.91,4,8.96,Big Spender,Low Value,False,1,Loyal
95,2005-08-01,4,19.96,9,43.91,Low Value,Low Value,True,0,Low Value
96,2005-07-01,12,49.88,7,21.93,High Value,Low Value,False,1,Loyal
96,2005-08-01,8,33.92,12,49.88,Low Value,Low Value,True,0,Low Value
97,2005-07-01,12,40.88,3,8.97,High Value,High Value,True,1,Loyal
97,2005-08-01,3,8.97,12,40.88,Low Value,Low Value,True,0,Low Value
98,2005-07-01,9,40.91,6,25.94,Big Spender,Low Value,False,1,Loyal
98,2005-08-01,9,35.91,9,40.91,Low Value,Low Value,True,0,Low Value
99,2005-07-01,15,56.85,2,7.98,High Value,High Value,True,1,Loyal
99,2005-08-01,5,24.95,15,56.85,Low Value,Low Value,True,0,Low Value
99,2006-02-01,1,0.99,5,24.95,Low Value,High Value,False,0,Low Value
100,2005-07-01,13,69.87,4,18.96,High Value,High Value,True,2,High Value
100,2005-08-01,5,11.95,13,69.87,Low Value,Low Value,True,0,Low Value
100,2006-02-01,1,0.99,5,11.95,Low Value,High Value,False,1,Loyal
101,2005-08-01,10,31.9,12,53.88,Loyal,Loyal,True,0,Low Value
101,2006-02-01,1,0.99,10,31.9,Low Value,High Value,False,0,Low Value
102,2005-07-01,21,84.79,2,11.98,High Value,High Value,True,2,High Value
102,2005-08-01,7,32.93,21,84.79,Low Value,High Value,False,0,Low Value
103,2005-07-01,15,68.85,4,7.96,High Value,Big Spender,False,2,High Value
103,2005-08-01,10,51.9,15,68.85,High Value,High Value,True,0,Low Value
104,2005-07-01,10,44.9,4,8.96,High Value,Low Value,False,1,Loyal
104,2005-08-01,8,23.92,10,44.9,Low Value,Low Value,True,0,Low Value
105,2005-07-01,10,48.9,3,11.97,High Value,High Value,True,1,Loyal
105,2005-08-01,9,32.91,10,48.9,Low Value,Low Value,True,0,Low Value
106,2005-07-01,10,41.9,2,9.98,High Value,High Value,True,1,Loyal
106,2005-08-01,9,43.91,10,41.9,Big Spender,Low Value,False,2,High Value
107,2005-07-01,14,61.86,7,24.93,High Value,High Value,True,2,High Value
107,2005-08-01,5,25.95,14,61.86,Low Value,High Value,False,0,Low Value
107,2006-02-01,2,1.98,5,25.95,Low Value,Low Value,True,0,Low Value
108,2005-07-01,13,51.87,5,24.95,High Value,High Value,True,2,High Value
108,2005-08-01,9,44.91,13,51.87,Big Spender,Low Value,False,0,Low Value
108,2006-02-01,1,4.99,9,44.91,Low Value,Low Value,True,0,Low Value
109,2005-07-01,8,26.92,5,25.95,Low Value,Low Value,True,1,Loyal
109,2005-08-01,6,26.94,8,26.92,Low Value,Low Value,True,1,Loyal
110,2005-07-01,7,22.93,1,8.99,Low Value,High Value,False,1,Loyal
110,2005-08-01,4,17.96,7,22.93,Low Value,Low Value,True,1,Loyal
111,2005-07-01,9,29.91,6,22.94,Low Value,High Value,False,1,Loyal
111,2005-08-01,9,38.91,9,29.91,Big Spender,High Value,False,1,Loyal
111,2006-02-01,1,2.99,9,38.91,Low Value,High Value,False,0,Low Value
112,2005-07-01,11,50.89,4,15.96,High Value,High Value,True,1,Loyal
112,2005-08-01,13,62.87,11,50.89,High Value,High Value,True,2,High Value
113,2005-07-01,11,43.89,6,27.94,High Value,Low Value,False,1,Loyal
113,2005-08-01,10,39.9,11,43.89,High Value,High Value,True,0,Low Value
114,2005-07-01,15,61.85,4,19.96,High Value,High Value,True,2,High Value
114,2005-08-01,10,39.9,15,61.85,High Value,Low Value,False,0,Low Value
114,2006-02-01,1,4.99,10,39.9,Low Value,Low Value,True,0,Low Value
115,2005-07-01,15,50.85,3,10.97,High Value,Low Value,False,1,Loyal
115,2005-08-01,8,21.92,15,50.85,Low Value,Low Value,True,0,Low Value
115,2006-02-01,1,2.99,8,21.92,Low Value,Low Value,True,1,Loyal
116,2005-07-01,10,41.9,6,20.94,High Value,High Value,True,1,Loyal
116,2005-08-01,10,43.9,10,41.9,High Value,Low Value,False,2,High Value
117,2005-07-01,5,26.95,2,5.98,Low Value,High Value,False,1,Loyal
117,2005-08-01,10,36.9,5,26.95,Loyal,Loyal,True,1,Loyal
118,2005-07-01,11,37.89,3,10.97,Loyal,Low Value,False,1,Loyal
118,2005-08-01,6,27.94,11,37.89,Low Value,Low Value,True,0,Low Value
119,2005-07-01,10,44.9,3,16.97,High Value,High Value,True,1,Loyal
119,2005-08-01,18,77.82,10,44.9,High Value,Low Value,False,2,High Value
120,2005-07-01,13,48.87,6,29.94,High Value,High Value,True,2,High Value
120,2005-08-01,10,50.9,13,48.87,High Value,High Value,True,2,High Value
120,2006-02-01,1,4.99,10,50.9,Low Value,Big Spender,False,0,Low Value
121,2005-07-01,9,31.91,2,4.98,Low Value,High Value,False,1,Loyal
121,2005-08-01,14,67.86,9,31.91,High Value,Low Value,False,2,High Value
122,2005-07-01,15,61.85,7,25.93,High Value,Low Value,False,2,High Value
122,2005-08-01,8,32.92,15,61.85,Low Value,Low Value,True,0,Low Value
123,2005-07-01,10,45.9,5,14.95,High Value,High Value,True,1,Loyal
123,2005-08-01,8,36.92,10,45.9,Low Value,Low Value,True,0,Low Value
124,2005-07-01,8,37.92,1,1.99,Low Value,Low Value,True,1,Loyal
124,2005-08-01,5,17.95,8,37.92,Low Value,Low Value,True,0,Low Value
125,2005-07-01,16,65.84,4,19.96,High Value,High Value,True,2,High Value
125,2005-08-01,11,45.89,16,65.84,High Value,High Value,True,0,Low Value
126,2005-07-01,13,48.87,1,2.99,High Value,High Value,True,1,Loyal
126,2005-08-01,11,50.89,13,48.87,High Value,High Value,True,2,High Value
127,2005-07-01,7,36.93,3,11.97,Low Value,High Value,False,1,Loyal
127,2005-08-01,12,56.88,7,36.93,High Value,High Value,True,2,High Value
128,2005-07-01,16,65.84,2,8.98,High Value,High Value,True,2,High Value
128,2005-08-01,12,43.88,16,65.84,High Value,High Value,True,0,Low Value
129,2005-07-01,15,55.85,6,19.94,High Value,Low Value,False,2,High Value
129,2005-08-01,13,48.87,15,55.85,High Value,Low Value,False,2,High Value
130,2005-07-01,8,31.92,6,21.94,Low Value,High Value,False,1,Loyal
130,2005-08-01,8,33.92,8,31.92,Low Value,Low Value,True,1,Loyal
131,2005-07-01,12,49.88,2,14.98,High Value,High Value,True,1,Loyal
131,2005-08-01,13,47.87,12,49.88,High Value,Low Value,False,2,High Value
132,2005-07-01,14,44.86,6,19.94,High Value,Low Value,False,1,Loyal
132,2005-08-01,8,30.92,14,44.86,Low Value,Low Value,True,0,Low Value
133,2005-07-01,13,47.87,4,13.96,High Value,High Value,True,1,Loyal
133,2005-08-01,8,26.92,13,47.87,Low Value,Low Value,True,0,Low Value
134,2005-07-01,6,18.94,4,17.96,Low Value,Low Value,True,1,Loyal
134,2005-08-01,9,40.91,6,18.94,Big Spender,Low Value,False,1,Loyal
135,2005-07-01,14,57.86,3,5.97,High Value,Low Value,False,1,Loyal
135,2005-08-01,10,35.9,14,57.86,Loyal,Low Value,False,0,Low Value
135,2006-02-01,1,0.99,10,35.9,Low Value,High Value,False,0,Low Value
136,2005-07-01,6,24.94,1,2.99,Low Value,High Value,False,1,Loyal
136,2005-08-01,7,31.93,6,24.94,Low Value,Big Spender,False,1,Loyal
137,2005-07-01,19,96.81,4,19.96,High Value,High Value,True,2,High Value
137,2005-08-01,15,74.85,19,96.81,High Value,High Value,True,2,High Value
138,2005-07-01,15,47.85,3,9.97,High Value,High Value,True,1,Loyal
138,2005-08-01,14,48.86,15,47.85,High Value,High Value,True,2,High Value
139,2005-07-01,12,51.88,4,14.96,High Value,High Value,True,1,Loyal
139,2005-08-01,11,46.89,12,51.88,High Value,High Value,True,0,Low Value
140,2005-07-01,7,29.93,4,15.96,Low Value,High Value,False,1,Loyal
140,2005-08-01,7,37.93,7,29.93,Low Value,Low Value,True,1,Loyal
141,2005-07-01,11,41.89,3,20.97,High Value,High Value,True,1,Loyal
141,2005-08-01,17,64.83,11,41.89,High Value,High Value,True,2,High Value
142,2005-07-01,10,41.9,2,4.98,High Value,High Value,True,1,Loyal
142,2005-08-01,10,26.9,10,41.9,Loyal,Low Value,False,0,Low Value
142,2006-02-01,1,0.99,10,26.9,Low Value,Low Value,True,0,Low Value
143,2005-07-01,9,33.91,5,16.95,Low Value,Low Value,True,1,Loyal
143,2005-08-01,6,32.94,9,33.91,Low Value,Low Value,True,1,Loyal
144,2005-07-01,18,93.82,6,22.94,High Value,High Value,True,2,High Value
144,2005-08-01,16,72.84,18,93.82,High Value,High Value,True,2,High Value
145,2005-07-01,15,55.85,2,5.98,High Value,High Value,True,1,Loyal
145,2005-08-01,10,45.9,15,55.85,High Value,Low Value,False,0,Low Value
146,2005-07-01,7,36.93,7,25.93,Low Value,Low Value,True,1,Loyal
146,2005-08-01,13,63.87,7,36.93,High Value,High Value,True,2,High Value
147,2005-07-01,13,31.87,4,16.96,Loyal,High Value,False,1,Loyal
147,2005-08-01,15,76.85,13,31.87,High Value,Low Value,False,2,High Value
148,2005-07-01,22,100.78,5,22.95,High Value,High Value,True,2,High Value
148,2005-08-01,18,87.82,22,100.78,High Value,High Value,True,2,High Value
149,2005-07-01,11,54.89,7,32.93,High Value,Low Value,False,2,High Value
149,2005-08-01,7,28.93,11,54.89,Low Value,Low Value,True,0,Low Value
150,2005-07-01,4,17.96,2,7.98,Low Value,High Value,False,1,Loyal
150,2005-08-01,16,68.84,4,17.96,High Value,Low Value,False,2,High Value
151,2005-07-01,10,29.9,5,13.95,Loyal,High Value,False,1,Loyal
151,2005-08-01,10,37.9,10,29.9,Loyal,High Value,False,1,Loyal
152,2005-07-01,6,25.94,1,4.99,Low Value,High Value,False,1,Loyal
152,2005-08-01,11,37.89,6,25.94,Loyal,Low Value,False,1,Loyal
152,2006-02-01,1,4.99,11,37.89,Low Value,Low Value,True,0,Low Value
153,2005-07-01,10,39.9,4,12.96,High Value,High Value,True,1,Loyal
153,2005-08-01,10,41.9,10,39.9,High Value,Low Value,False,2,High Value
154,2005-07-01,14,55.86,3,8.97,High Value,High Value,True,1,Loyal
154,2005-08-01,10,45.9,14,55.86,High Value,Low Value,False,0,Low Value
155,2005-07-01,10,42.9,5,27.95,High Value,High Value,True,1,Loyal
155,2005-08-01,7,27.93,10,42.9,Low Value,Low Value,True,0,Low Value
155,2006-02-01,2,7.98,7,27.93,Low Value,Low Value,True,0,Low Value
156,2005-07-01,9,34.91,4,16.96,Low Value,High Value,False,1,Loyal
156,2005-08-01,10,37.9,9,34.91,Loyal,Loyal,True,1,Loyal
157,2005-07-01,17,52.83,1,0.99,High Value,High Value,True,1,Loyal
157,2005-08-01,11,53.89,17,52.83,High Value,High Value,True,2,High Value
158,2005-07-01,13,45.87,4,21.96,High Value,Low Value,False,1,Loyal
158,2005-08-01,13,47.87,13,45.87,High Value,Low Value,False,2,High Value
159,2005-07-01,10,38.9,2,1.98,High Value,High Value,True,1,Loyal
